Rank,University,Overall,Teaching,Research,Citations,Industry_income,International_outlook
1001+,Voronezh State University,10.7–22.1,21.1,8.7,4.2,35.3,25.9
1001+,VSB - Technical University of Ostrava,10.7–22.1,18.6,13.2,10.1,41.4,38.9
1001+,Warsaw University of Technology,10.7–22.1,19.2,11.8,30.7,39.8,25.1
1001+,Wenzhou Medical University,10.7–22.1,16.7,12.7,28.0,37.7,24.2
1001+,University of West Bohemia,10.7–22.1,18.1,15.7,16.7,39.1,29.8
1001+,Universidade Estadual do Oeste do Paraná (Unioeste),10.7–22.1,18.8,10.7,4.0,34.9,15.2
1001+,West University of Timişoara,10.7–22.1,17.9,9.2,11.9,35.5,28.0
1001+,Wrocław University of Science and Technology,10.7–22.1,16.6,10.8,21.3,38.9,21.0
1001+,Yamagata University,10.7–22.1,21.8,12.2,17.7,50.6,22.3
1001+,Yamaguchi University,10.7–22.1,20.8,12.5,14.9,42.3,25.2
1001+,University of Yamanashi,10.7–22.1,24.0,10.7,25.6,36.8,21.6
1001+,Yanshan University,10.7–22.1,17.5,11.2,14.9,50.6,15.9
1001+,Yarmouk University,10.7–22.1,19.4,8.3,7.1,35.6,48.7
1001+,Yazd University,10.7–22.1,16.6,14.4,16.1,36.9,16.6
1001+,Yeditepe University,10.7–22.1,18.8,12.2,11.9,68.0,19.6
1001+,Yıldız Technical University,10.7–22.1,15.4,12.9,23.0,45.6,21.1
1001+,Yokohama National University,10.7–22.1,22.7,16.5,16.2,49.1,26.7
1001+,Yuan Ze University,10.7–22.1,17.3,13.9,15.5,47.0,28.3
1001+,Zagazig University,10.7–22.1,13.6,7.7,29.6,34.4,38.8
1001+,University of Zagreb,10.7–22.1,17.8,12.9,25.3,37.4,33.0
1001+,University of Zanjan,10.7–22.1,17.0,12.3,28.5,43.8,18.7
1001+,Zhejiang University of Technology,10.7–22.1,16.7,14.2,32.3,51.4,24.4
